timestamp,open,high,low,close,volume
2026-05-25 01:00:00,77153.01,77245.67,77021.08,77175.86,418.38819
2026-05-25 01:30:00,77175.85,77219.96,76914.25,76945.27,156.0367
2026-05-25 02:00:00,76945.28,77485.0,76945.28,77141.28,261.38005
2026-05-25 02:30:00,77141.29,77175.79,77064.51,77108.77,52.58473
2026-05-25 03:00:00,77108.77,77169.88,77066.3,77083.7,103.89739
2026-05-25 03:30:00,77083.7,77122.45,77002.3,77026.67,94.80783
2026-05-25 04:00:00,77026.68,77175.44,76990.78,77175.44,83.5877
2026-05-25 04:30:00,77175.43,77450.0,77134.74,77391.07,168.18636
2026-05-25 05:00:00,77391.07,77473.62,77324.0,77393.63,202.92935
2026-05-25 05:30:00,77393.63,77498.0,77388.66,77407.0,103.84863
2026-05-25 06:00:00,77406.99,77650.0,77222.22,77277.15,293.9133
2026-05-25 06:30:00,77277.15,77520.0,77277.14,77419.87,119.94597
2026-05-25 07:00:00,77419.87,77520.0,77184.62,77212.84,168.16245
2026-05-25 07:30:00,77212.84,77401.12,77198.29,77401.12,207.95569
2026-05-25 08:00:00,77401.11,77416.45,77280.32,77314.01,139.39278
2026-05-25 08:30:00,77314.0,77469.64,77314.0,77456.94,213.23702
2026-05-25 09:00:00,77456.94,77539.6,77425.17,77520.0,142.15152
2026-05-25 09:30:00,77520.01,77699.97,77516.0,77604.56,226.95244
2026-05-25 10:00:00,77604.56,77681.37,77520.67,77535.42,172.02818
2026-05-25 10:30:00,77535.41,77585.37,77490.37,77545.65,111.50704
2026-05-25 11:00:00,77545.65,77545.65,77412.86,77416.44,121.17825
2026-05-25 11:30:00,77416.45,77516.16,77333.33,77357.5,87.9998
2026-05-25 12:00:00,77357.5,77420.86,77286.5,77394.75,149.04329
2026-05-25 12:30:00,77394.75,77440.46,77299.53,77367.98,112.24254
2026-05-25 13:00:00,77367.98,77450.0,77286.5,77334.01,92.13408
2026-05-25 13:30:00,77334.01,77364.2,77298.0,77341.05,107.39577
2026-05-25 14:00:00,77341.05,77620.0,77304.84,77619.97,266.15071
2026-05-25 14:30:00,77619.97,77773.69,77545.1,77714.0,336.92744
2026-05-25 15:00:00,77713.99,77905.52,77598.26,77603.0,367.17535
2026-05-25 15:30:00,77603.0,77683.11,77557.0,77628.82,132.32778
2026-05-25 16:00:00,77628.82,77636.0,77508.88,77590.0,153.47407
2026-05-25 16:30:00,77590.01,77807.29,77580.15,77735.69,189.1699
2026-05-25 17:00:00,77735.69,77804.48,77584.65,77649.28,205.57978
2026-05-25 17:30:00,77649.27,77649.28,77550.39,77564.01,72.63804
2026-05-25 18:00:00,77564.0,77658.01,77543.38,77638.01,79.74588
2026-05-25 18:30:00,77638.01,77640.01,77543.38,77543.39,125.01872
2026-05-25 19:00:00,77543.39,77543.39,77426.5,77514.72,138.58362
2026-05-25 19:30:00,77514.72,77521.61,77343.61,77441.86,156.95575
2026-05-25 20:00:00,77441.85,77500.0,77414.06,77440.02,99.2349
2026-05-25 20:30:00,77440.02,77466.0,77220.0,77273.06,214.88037
2026-05-25 21:00:00,77273.06,77363.81,77273.05,77353.59,71.44603
2026-05-25 21:30:00,77353.59,77396.08,77277.46,77367.03,112.48013
2026-05-25 22:00:00,77367.03,77449.94,77274.41,77297.07,95.86034
2026-05-25 22:30:00,77297.06,77297.06,77019.82,77116.21,299.86193
2026-05-25 23:00:00,77116.21,77320.0,77072.36,77280.05,102.60672
2026-05-25 23:30:00,77280.06,77367.44,77264.0,77322.01,60.00795
2026-05-26 00:00:00,77322.01,77345.0,77088.0,77119.99,200.86708
2026-05-26 00:30:00,77120.0,77195.25,76575.49,76792.71,485.31006
2026-05-26 01:00:00,76792.24,76888.01,76615.97,76799.49,169.20453
2026-05-26 01:30:00,76799.5,76799.5,76590.9,76756.98,172.84678
2026-05-26 02:00:00,76756.98,76810.0,76630.33,76666.45,505.34117
2026-05-26 02:30:00,76666.45,76736.53,76512.98,76660.0,216.0974
2026-05-26 03:00:00,76660.0,76660.0,76475.59,76585.34,279.34686
2026-05-26 03:30:00,76585.34,76705.71,76562.25,76664.01,116.79881
2026-05-26 04:00:00,76664.0,76756.24,76606.79,76741.99,275.98997
2026-05-26 04:30:00,76741.99,76817.28,76738.65,76749.5,116.60096
2026-05-26 05:00:00,76749.51,76895.69,76704.8,76864.42,275.93814
2026-05-26 05:30:00,76864.43,76989.23,76853.21,76930.01,280.10506
2026-05-26 06:00:00,76930.0,76930.0,76775.0,76844.23,324.4967
2026-05-26 06:30:00,76844.24,77059.74,76834.55,76908.01,333.81163
2026-05-26 07:00:00,76908.0,76924.55,76603.73,76700.01,204.62084
2026-05-26 07:30:00,76700.01,76770.01,76620.78,76730.84,231.641
2026-05-26 08:00:00,76730.84,76816.27,76693.21,76807.73,125.35578
2026-05-26 08:30:00,76807.72,76852.01,76723.12,76726.37,120.71373
2026-05-26 09:00:00,76726.37,76804.0,76649.79,76737.44,196.21881
2026-05-26 09:30:00,76737.44,76792.78,76650.19,76672.19,154.30489
2026-05-26 10:00:00,76672.2,77268.57,76586.94,77229.75,350.05157
2026-05-26 10:30:00,77229.74,77621.75,77172.0,77430.0,547.08359
2026-05-26 11:00:00,77430.0,77516.93,77222.34,77238.01,286.35465
2026-05-26 11:30:00,77238.01,77319.53,77174.94,77183.55,116.9133
2026-05-26 12:00:00,77183.56,77232.52,76877.94,77016.74,274.37074
2026-05-26 12:30:00,77016.73,77143.23,76974.0,77132.5,128.31171
2026-05-26 13:00:00,77132.51,77151.75,76794.7,76798.04,198.16033
2026-05-26 13:30:00,76798.05,77464.01,76691.88,77231.56,461.80647
2026-05-26 14:00:00,77231.56,78080.0,77144.91,77958.4,863.89735
2026-05-26 14:30:00,77958.4,77996.09,76724.63,76908.01,1156.27962
2026-05-26 15:00:00,76908.01,77012.0,76559.9,76644.0,485.81112
2026-05-26 15:30:00,76644.01,76693.86,76272.63,76518.1,1265.44726
2026-05-26 16:00:00,76518.1,76572.01,76209.58,76545.63,1620.0448
2026-05-26 16:30:00,76545.63,76710.01,76412.02,76558.0,449.97618
2026-05-26 17:00:00,76558.0,76649.91,76057.1,76069.82,469.53374
2026-05-26 17:30:00,76069.83,76146.52,75850.0,75935.08,721.12428
2026-05-26 18:00:00,75935.09,76273.66,75863.78,76100.75,534.26081
2026-05-26 18:30:00,76100.75,76142.5,75779.3,75840.55,312.04821
2026-05-26 19:00:00,75840.55,75937.34,75805.23,75916.68,311.25966
2026-05-26 19:30:00,75916.68,76104.49,75884.0,76052.0,270.45086
2026-05-26 20:00:00,76052.0,76168.63,76017.46,76161.5,146.87439
2026-05-26 20:30:00,76161.49,76180.0,75982.64,76106.86,177.54136
2026-05-26 21:00:00,76106.86,76117.31,75850.0,76048.64,154.23283
2026-05-26 21:30:00,76048.64,76079.08,75866.67,75890.0,121.3504
2026-05-26 22:00:00,75890.0,75998.94,75720.45,75799.96,214.69655
2026-05-26 22:30:00,75799.96,75868.51,75677.97,75749.02,213.42514
2026-05-26 23:00:00,75749.02,75945.02,75749.02,75905.99,181.42945
2026-05-26 23:30:00,75906.0,75986.45,75894.26,75930.01,135.12972
2026-05-27 00:00:00,75930.01,76018.66,75872.71,75935.26,402.58643
2026-05-27 00:30:00,75935.27,76089.7,75903.47,76085.01,377.83039
2026-05-27 01:00:00,76085.0,76104.02,75824.0,75880.49,181.23598
2026-05-27 01:30:00,75880.5,75985.1,75835.99,75877.44,392.4928
2026-05-27 02:00:00,75877.44,75890.59,75682.99,75769.82,231.16845
2026-05-27 02:30:00,75769.82,75879.31,75705.14,75879.0,206.08958
2026-05-27 03:00:00,75879.01,75966.91,75809.88,75844.88,293.64005
2026-05-27 03:30:00,75844.89,75863.96,75607.62,75683.0,319.20741
2026-05-27 04:00:00,75683.0,75706.77,75506.0,75509.15,364.48298
2026-05-27 04:30:00,75509.15,75603.51,75310.9,75579.01,452.57061
2026-05-27 05:00:00,75579.01,75713.63,75579.0,75655.0,273.22747
2026-05-27 05:30:00,75655.0,75739.36,75586.0,75697.99,217.33367
2026-05-27 06:00:00,75697.99,75811.81,75690.01,75744.56,267.96907
2026-05-27 06:30:00,75744.56,75900.0,75709.39,75838.65,214.89587
2026-05-27 07:00:00,75838.65,75890.01,75764.0,75863.83,176.1805
