entry_time,exit_time,direction,entry_mode,htf_impulse_high,htf_impulse_low,drop_pct,fib_zone_low,fib_zone_high,entry_price,stop_price,target_price,tp1_price,tp1_hit,tp1_ratio,tp1_close_weight,exit_price,exit_reason,result_pct
2025-01-01 01:00:00,2025-01-02 08:30:00,SHORT,FIB_ZONE_TP1_BE,99419.99,90791.1,8.679230404267793,92827.51804000001,94087.33598,93825.86,96123.75402000001,90791.1,92308.48000000001,False,0.5,0.5,96123.75402000001,STOP_LOSS_BEFORE_TP1,-2.449105204045033
2025-01-13 13:30:00,2025-01-13 14:30:00,SHORT,FIB_ZONE_TP1_BE,97839.5,89256.69,8.772336326330365,91282.23316,92535.32342,91131.41,94560.86658,89256.69,90194.05,True,0.5,0.5,89256.69,TP1_AND_TARGET,1.5428708938005027
2025-01-27 04:30:00,2025-01-27 07:00:00,SHORT,FIB_ZONE_TP1_BE,105865.22,97777.77,7.639383359331797,99686.4082,100867.1759,100410.04,102775.8141,97777.77,99093.905,True,0.5,0.5,97777.77,TP1_THEN_TARGET,1.9661405373406806
2025-02-03 00:30:00,2025-02-03 02:00:00,SHORT,FIB_ZONE_TP1_BE,103800.0,91231.0,12.108863198458575,94197.284,96032.35800000001,96511.33,98998.64199999999,91231.0,93871.16500000001,True,0.5,0.5,91231.0,TP1_THEN_TARGET,4.103401642066271
2025-02-12 12:30:00,2025-02-12 13:30:00,SHORT,FIB_ZONE_TP1_BE,102500.01,94088.23,8.20661383350109,96073.41008,97301.52996,95982.97,99286.71003999999,94088.23,95035.6,True,0.5,0.5,94088.23,TP1_AND_TARGET,1.4805282645452629
2025-02-25 13:00:00,2025-02-25 15:30:00,SHORT,FIB_ZONE_TP1_BE,98119.99,86050.99,12.300245852042993,88899.274,90661.348,89051.49,93509.63200000001,86050.99,87551.24,True,0.5,0.5,86050.99,TP1_THEN_TARGET,2.5270492385921894
2025-03-11 04:30:00,2025-03-11 18:30:00,SHORT,FIB_ZONE_TP1_BE,87078.46,76606.0,12.026464409223596,79077.50056,80606.47972,79759.91,83077.98028,76606.0,78182.955,False,0.5,0.5,83077.98028,STOP_LOSS_BEFORE_TP1,-4.160072748326822
2025-03-13 16:30:00,2025-03-13 17:30:00,SHORT,FIB_ZONE_TP1_BE,84539.85,79939.9,5.441161771637886,81025.48819999999,81697.0809,80876.36,82782.6691,79939.9,80408.13,True,0.5,0.5,79939.9,TP1_THEN_TARGET,0.8684181632308887
2025-03-31 13:00:00,2025-03-31 14:00:00,SHORT,FIB_ZONE_TP1_BE,87453.67,81278.52,7.061053012412167,82735.8554,83637.4273,82553.8,85094.7627,81278.52,81916.16,True,0.5,0.5,82553.8,TP1_THEN_BREAKEVEN,0.3861966378289064
2025-04-07 04:30:00,2025-04-07 07:00:00,SHORT,FIB_ZONE_TP1_BE,85579.46,74508.0,12.937052886288376,77120.86456,78737.29772,76989.92,81350.16228,74508.0,75748.95999999999,True,0.5,0.5,74508.0,TP1_THEN_TARGET,2.41777105366521
2025-04-09 00:30:00,2025-04-09 01:00:00,SHORT,FIB_ZONE_TP1_BE,81243.58,74620.0,8.15274265363491,76183.16488,77150.20756,76522.07,78713.37244,74620.0,75571.035,True,0.5,0.5,74620.0,TP1_AND_TARGET,1.8642366836129827
2025-04-10 18:30:00,2025-04-11 01:00:00,SHORT,FIB_ZONE_TP1_BE,83588.0,78464.36,6.129635832894674,79673.53904,80421.59048,79502.07,81630.76952,78464.36,78983.215,True,0.5,0.5,79502.07,TP1_THEN_BREAKEVEN,0.3263154028568127
2025-06-01 16:30:00,2025-06-02 21:00:00,SHORT,FIB_ZONE_TP1_BE,111880.0,103068.55,7.875804433321414,105148.0522,106434.5239,105038.8,108514.0261,103068.55,104053.675,True,0.5,0.5,105038.8,TP1_THEN_BREAKEVEN,0.4689338606305479
2025-06-06 01:00:00,2025-06-06 12:30:00,SHORT,FIB_ZONE_TP1_BE,106500.0,100372.26,5.753746478873245,101818.40664,102713.05668,101830.61,104159.20332,100372.26,101101.435,False,0.5,0.5,104159.20332,STOP_LOSS_BEFORE_TP1,-2.2867321721828047
2025-06-21 21:00:00,2025-06-21 22:00:00,SHORT,FIB_ZONE_TP1_BE,106488.14,100837.9,5.305980553327352,102171.35664,102996.29168,101848.0,104329.74832,100837.9,101342.95,True,0.5,0.5,101848.0,TP1_THEN_BREAKEVEN,0.24794301311758843
2025-07-25 11:30:00,2025-07-25 18:30:00,SHORT,FIB_ZONE_TP1_BE,123218.0,114723.16,6.89415507474557,116727.94224,117968.18888,116543.58,119972.97112,114723.16,115633.37,True,0.5,0.5,116543.58,TP1_THEN_BREAKEVEN,0.3905019907574516
2025-08-03 08:00:00,2025-08-05 19:00:00,SHORT,FIB_ZONE_TP1_BE,119800.0,111920.0,6.57762938230384,113779.68,114930.16,113680.62,116789.84,111920.0,112800.31,True,0.5,0.5,113680.62,TP1_THEN_BREAKEVEN,0.3871856082417556
2025-08-23 03:00:00,2025-08-24 19:30:00,SHORT,FIB_ZONE_TP1_BE,122335.16,111684.79,8.705894527787441,114198.27732,115753.23134,115720.25,118266.71866,111684.79,113702.51999999999,True,0.5,0.5,111684.79,TP1_AND_TARGET,2.615441117695484
2025-09-01 10:00:00,2025-09-01 23:30:00,SHORT,FIB_ZONE_TP1_BE,112937.26,107255.0,5.031342180605404,108596.01336,109425.62332,108859.99,110766.63668,107255.0,108057.495,True,0.5,0.5,108859.99,TP1_THEN_BREAKEVEN,0.36859042518744023
2025-09-25 16:30:00,2025-09-25 18:00:00,SHORT,FIB_ZONE_TP1_BE,116665.63,108631.51,6.886449762453611,110527.56232,111700.54384,110957.29,113596.59616,108631.51,109794.4,True,0.5,0.5,108631.51,TP1_THEN_TARGET,1.5720778688808994
