total_trades,wins,losses,win_rate,expectancy,profit_factor,max_drawdown,net_result,config,cost_pct
42,33,9,78.57142857142857,0.40842689104926594,1.661731679442315,-8.541290274263194,17.15392942406917,v5_tp1_50_close_50,0.0
42,33,9,78.57142857142857,0.3584268910492659,1.5708129893043312,-8.891290274263195,15.053929424069167,v5_tp1_50_close_50,0.05
42,32,10,76.19047619047619,0.30842689104926596,1.4824199142527303,-9.241290274263193,12.95392942406917,v5_tp1_50_close_50,0.1
42,32,10,76.19047619047619,0.20842689104926587,1.3143018818429537,-9.941290274263196,8.753929424069167,v5_tp1_50_close_50,0.2
42,29,13,69.04761904761905,0.10842689104926599,1.1573517312872645,-10.74160829136635,4.553929424069172,v5_tp1_50_close_50,0.3
43,36,7,83.72093023255815,0.49500809647160693,2.030336569368645,-5.812352101914264,21.2853481482791,v5_tp1_40_close_50,0.0
43,36,7,83.72093023255815,0.445008096471607,1.9108324854865941,-6.012352101914267,19.1353481482791,v5_tp1_40_close_50,0.05
43,35,8,81.3953488372093,0.3950080964716069,1.7936340725544573,-6.212352101914268,16.985348148279098,v5_tp1_40_close_50,0.1
43,34,9,79.06976744186046,0.2950080964716069,1.571318527506834,-6.612352101914267,12.685348148279097,v5_tp1_40_close_50,0.2
43,29,14,67.44186046511628,0.19500809647160705,1.3605143362597725,-7.012352101914267,8.385348148279103,v5_tp1_40_close_50,0.3
42,33,9,78.57142857142857,0.3323508101621368,1.5384735055216439,-8.389043556817498,13.958734026809745,v5_tp1_50_close_70,0.0
42,33,9,78.57142857142857,0.2823508101621368,1.4496579749062304,-8.739043556817498,11.858734026809746,v5_tp1_50_close_70,0.05
42,32,10,76.19047619047619,0.23235081016213685,1.3638107382344524,-9.089043556817497,9.758734026809748,v5_tp1_50_close_70,0.1
42,32,10,76.19047619047619,0.13235081016213668,1.1997844590350686,-9.861090012711358,5.5587340268097405,v5_tp1_50_close_70,0.2
42,31,11,73.80952380952381,0.032350810162136846,1.0470602578307344,-10.861090012711358,1.3587340268097476,v5_tp1_50_close_70,0.3
