config_name,zone,invalidation,min_drop_pct,max_impulse_bars,max_wait_bars,max_trade_bars,total_trades,win_rate,expectancy,profit_factor,max_drawdown,period,split_date,common_start
robust_v2,0.236-0.382,0.618,5.0,80,100,120,26,61.53846153846154,0.6168976483527834,1.6433576624766342,-7.4502182029012936,TRAIN,2026-01-01,2025-01-01
robust_v2,0.236-0.382,0.618,5.0,80,100,120,14,57.14285714285714,0.07417032914241195,1.0732989957569004,-6.714111285813079,TEST,2026-01-01,2025-01-01
aggressive_v2,0.236-0.382,0.618,6.0,80,100,120,23,60.86956521739131,0.5792978417710596,1.5225757119538061,-11.917173588138374,TRAIN,2026-01-01,2025-01-01
aggressive_v2,0.236-0.382,0.618,6.0,80,100,120,9,66.66666666666666,0.3749131246837945,1.3178158152829609,-7.7006801932213484,TEST,2026-01-01,2025-01-01
base_v1,0.236-0.382,0.618,5.0,80,80,120,25,64.0,0.6201891549181094,1.6088575373729208,-7.984828187120926,TRAIN,2026-01-01,2025-01-01
base_v1,0.236-0.382,0.618,5.0,80,80,120,14,57.14285714285714,0.07417032914241195,1.0732989957569004,-6.714111285813079,TEST,2026-01-01,2025-01-01
