window_id,train_start,train_end,test_start,test_end,cost_pct,config,min_drop_pct,max_impulse_bars,max_wait_bars,max_trade_bars,train_trades,train_win_rate,train_expectancy,train_profit_factor,train_max_drawdown,train_net_result,test_trades,test_win_rate,test_expectancy,test_profit_factor,test_max_drawdown,test_net_result
1,2025-01-01,2025-09-01,2025-09-01,2025-11-01,0.1,drop=5.0 | impulse=80 | wait=100 | trade=120,5.0,80,100,120,18,61.111111111111114,0.5651165696740468,1.6353898073114879,-8.550218202901297,10.172098254132843,5,60.0,-0.004386928043645888,0.995624464075481,-3.1615510812546885,-0.02193464021822944
2,2025-03-01,2025-11-01,2025-11-01,2026-01-01,0.1,drop=5.5 | impulse=60 | wait=100 | trade=120,5.5,60,100,120,16,56.25,0.07025575380985054,1.0790888340246927,-8.135979254745882,1.1240920609576086,7,57.14285714285714,0.07858017090685769,1.0849732868611757,-4.908429233227032,0.5500611963480039
3,2025-05-01,2026-01-01,2026-01-01,2026-03-01,0.1,drop=5.0 | impulse=80 | wait=100 | trade=120,5.0,80,100,120,15,53.333333333333336,0.13962290920251874,1.133269406550949,-4.908429233227032,2.094343638037781,5,60.0,0.5076479940744053,1.48538579757602,-5.084545845735,2.5382399703720266
4,2025-07-01,2026-03-01,2026-03-01,2026-05-01,0.1,drop=5.5 | impulse=80 | wait=60 | trade=120,5.5,80,60,120,16,62.5,0.5280990902259113,1.5204336623780523,-5.873766452528338,8.44958544361458,5,40.0,-0.5870735525939355,0.5881192231882533,-4.80375400625711,-2.935367762969677
