total_trades,wins,losses,win_rate,expectancy,profit_factor,max_drawdown,net_result,config,cost_pct
23,14,9,60.86956521739131,0.5792978417710597,1.5225757119538061,-11.917173588138374,13.323850360734372,aggressive_v2_train,0.0
23,14,9,60.86956521739131,0.5292978417710598,1.4691905077432628,-12.367173588138373,12.173850360734374,aggressive_v2_train,0.05
23,14,9,60.86956521739131,0.4792978417710597,1.4176254951583023,-12.817173588138374,11.023850360734373,aggressive_v2_train,0.1
23,14,9,60.86956521739131,0.37929784177105946,1.3195959607642602,-13.717173588138376,8.723850360734367,aggressive_v2_train,0.2
23,14,9,60.86956521739131,0.2792978417710597,1.227824407936256,-14.617173588138375,6.423850360734373,aggressive_v2_train,0.3
9,6,3,66.66666666666666,0.3749131246837947,1.3178158152829609,-4.984545845735,3.374218122154152,aggressive_v2_test,0.0
9,6,3,66.66666666666666,0.3249131246837947,1.2715933686556886,-5.034545845735,2.9242181221541523,aggressive_v2_test,0.05
9,6,3,66.66666666666666,0.2749131246837946,1.2266411302756899,-5.084545845734999,2.4742181221541513,aggressive_v2_test,0.1
9,6,3,66.66666666666666,0.1749131246837945,1.1403434451811298,-5.184545845735,1.5742181221541505,aggressive_v2_test,0.2
9,6,3,66.66666666666666,0.07491312468379473,1.0585416417600433,-5.284545845735,0.6742181221541526,aggressive_v2_test,0.3
25,16,9,64.0,0.6201891549181096,1.6088575373729208,-7.984828187120924,15.50472887295274,base_v1_train,0.0
25,16,9,64.0,0.5701891549181096,1.550051081275813,-8.484828187120925,14.25472887295274,base_v1_train,0.05
25,16,9,64.0,0.5201891549181096,1.4932520306194585,-8.984828187120929,13.00472887295274,base_v1_train,0.1
25,16,9,64.0,0.42018915491810943,1.3852785708161302,-9.984828187120929,10.504728872952736,base_v1_train,0.2
25,16,9,64.0,0.32018915491810956,1.28420552932942,-10.984828187120925,8.00472887295274,base_v1_train,0.3
14,8,6,57.14285714285714,0.07417032914241184,1.0732989957569001,-6.714111285813081,1.0383846079937658,base_v1_test,0.0
14,8,6,57.14285714285714,0.02417032914241197,1.0233910344567274,-6.964111285813079,0.33838460799376757,base_v1_test,0.05
14,8,6,57.14285714285714,-0.025829670857588145,0.9755109695528669,-7.214111285813081,-0.36161539200623405,base_v1_test,0.1
14,8,6,57.14285714285714,-0.12582967085758812,0.8853594393936496,-7.714111285813081,-1.7616153920062336,base_v1_test,0.2
14,8,6,57.14285714285714,-0.22582967085758804,0.8019834928166106,-8.21411128581308,-3.1616153920062326,base_v1_test,0.3
26,16,10,61.53846153846154,0.6168976483527835,1.6433576624766344,-7.450218202901292,16.03933885717237,robust_v2_train,0.0
26,16,10,61.53846153846154,0.5668976483527837,1.5795890435543314,-8.000218202901294,14.739338857172374,robust_v2_train,0.05
26,16,10,61.53846153846154,0.5168976483527835,1.5182796211750385,-8.550218202901297,13.439338857172372,robust_v2_train,0.1
26,16,10,61.53846153846154,0.41689764835278326,1.402490471092768,-9.650218202901298,10.839338857172365,robust_v2_train,0.2
26,16,10,61.53846153846154,0.31689764835278356,1.2949925035579621,-10.750218202901294,8.239338857172372,robust_v2_train,0.3
14,8,6,57.14285714285714,0.07417032914241184,1.0732989957569001,-6.714111285813081,1.0383846079937658,robust_v2_test,0.0
14,8,6,57.14285714285714,0.02417032914241197,1.0233910344567274,-6.964111285813079,0.33838460799376757,robust_v2_test,0.05
14,8,6,57.14285714285714,-0.025829670857588145,0.9755109695528669,-7.214111285813081,-0.36161539200623405,robust_v2_test,0.1
14,8,6,57.14285714285714,-0.12582967085758812,0.8853594393936496,-7.714111285813081,-1.7616153920062336,robust_v2_test,0.2
14,8,6,57.14285714285714,-0.22582967085758804,0.8019834928166106,-8.21411128581308,-3.1616153920062326,robust_v2_test,0.3
